MatchId,SeasonName,StartDateTime,Oppo,OversFaced,WicketsLost,RunsScored,OversBowled,WicketsTaken,RunsConceded
316022,2021 Autumn,2021-04-11T02:00:02Z,V8s,17.0,8,109,15.2,2,110
316026,2021 Autumn,2021-04-18T04:03:49Z,Melbourne Dolphins,20.0,4,124,20.0,5,151
316028,2021 Autumn,2021-05-02T02:06:05Z,Newport Nellies,20.0,6,139,17.1,7,141
316030,2021 Autumn,2021-05-09T01:55:27Z,Mustangs,16.1,8,128,20.0,4,150
316033,2021 Autumn,2021-05-16T01:51:58Z,FUCCC Blue,20.0,6,124,16.2,4,127
316036,2021 Autumn,2021-05-23T02:07:20Z,V8s,20.0,5,134,14.0,0,136
316049,2021 Autumn,2021-06-20T04:17:21Z,FUCCC Blue,11.3,8,69,19.0,7,106
316055,2021 Autumn,2021-06-26T23:38:03Z,Melbourne Dolphins,20.0,2,174,19.3,6,177
316046,2021 Autumn,2021-07-04T04:12:22Z,Mustangs,20.0,5,172,17.3,8,135
316041,2021 Autumn,2021-07-10T23:34:23Z,Newport Nellies,20.0,7,153,18.3,7,175
